|           energy|                      jnu|
|           double|                   double|
|         Rydbergs|log10(erg/s/cm^2/Hz/ster)|
 0.000788976745351            -19.6487045372 
  0.00082767315248            -19.6560430798 
 0.000867874419886              -19.66323962 
  0.00091126814088            -19.6703015405 
 0.000955608369212            -19.6770517462 
  0.00100260550212            -19.6836717199 
  0.00105178686621            -19.6899253706 
  0.00110349738542             -19.695917717 
  0.00115775395868            -19.7017277563 
  0.00121453837249            -19.7075523506 
  0.00127414449228            -19.7129752985 
   0.0013367583114            -19.7181070143 
  0.00140238248827            -19.7226236647 
  0.00147121107666             -19.726659134 
  0.00154347584837            -19.7303474042 
  0.00161945644372            -19.7341607024 
  0.00169885932304             -19.737335121 
  0.00178225726751            -19.7399066926 
  0.00187003517521            -19.7416615148 
  0.00196182592224            -19.7424610384 
  0.00205796779783            -19.7421606979 
  0.00215940317744            -19.7406100777 
  0.00226514576406            -19.7375667418 
  0.00237680787919            -19.7374729445 
  0.00249320968777            -19.7372003017 
   0.0026155801977            -19.7361399641 
  0.00274395706378             -19.734063099 
  0.00287920423659            -19.7307727343 
  0.00302044461677            -19.7263945695 
  0.00316852622003            -19.7205574268 
  0.00332458278322            -19.7131203723 
  0.00348744026361            -19.7039859791 
  0.00365824223557            -19.6927066397 
  0.00383853471306            -19.6789706455 
   0.0040268145863            -19.6625525622 
   0.0042247016267            -19.6429027595 
   0.0044322380393            -19.6196729236 
  0.00464932724939             -19.599818905 
  0.00487830910535            -19.5872952594 
  0.00511948393753            -19.5727072088 
  0.00536987708238            -19.5561647726 
  0.00563206514759            -19.5373270116 
  0.00590965071907            -19.5156486956 
  0.00619910299918            -19.4914629737 
  0.00650441214047            -19.4643529592 
  0.00682597858337            -19.4342369343 
  0.00715843001477            -19.4016116183 
  0.00751251558846            -19.3654294882 
  0.00788294239516            -19.3261847409 
  0.00826922087913            -19.2839917825 
  0.00867048659258            -19.2389889742 
  0.00909449242395            -19.1904133109 
  0.00954607312885            -19.1548267554 
   0.0100150361675            -19.1180964087 
   0.0105069542359            -19.0815454149 
   0.0110229604558            -19.0471243126 
   0.0115643165086            -19.0108644949 
   0.0121324476219            -18.9733691114 
   0.0127272086715            -18.9394250877 
   0.0133519141521            -18.9072884868 
   0.0140087339105            -18.8744739063 
   0.0146955029976            -18.8432027878 
   0.0154190886782            -18.8209897653 
   0.0161744433951            -18.8014839373 
    0.016969611562            -18.7814068483 
   0.0178051610176             -18.763201454 
   0.0186773548039            -18.7380082674 
     0.01959716432            -18.7161569013 
   0.0205564660699            -18.6654672389 
   0.0215684767072            -18.5332447011 
   0.0226289580551            -18.4987966634 
   0.0237371227111            -18.4613493003 
   0.0249048412375            -18.4256702193 
   0.0261258067913            -18.3888105935 
    0.027406560628            -18.3550819576 
   0.0287557002487            -18.3178802234 
   0.0301644535214             -18.283930715 
   0.0316522452546             -18.260362266 
   0.0332094803528              -18.24561554 
   0.0348344090551            -18.2413637721 
   0.0365530742431            -18.2329843738 
   0.0383369011729            -18.2011451247 
   0.0402325890013            -18.0913061801 
    0.042207880541            -18.0596930906 
    0.044279307137             -18.032091347 
   0.0464458787401            -18.0107796792 
   0.0487309166246             -17.989778877 
   0.0511373816431            -17.9549841594 
   0.0536355586157            -17.9277074234 
   0.0562511198074             -17.917458435 
   0.0590199573109            -17.9308373222 
   0.0619488878912            -17.9514378836 
   0.0649513999202            -17.9571388598 
   0.0681576769544            -17.9624023205 
   0.0715281115291            -17.9576802599 
   0.0750014930766            -17.9528110225 
   0.0786932764145            -17.9508300941 
   0.0825424040652            -17.9427802284 
   0.0866224468517            -17.9372556147 
    0.090854251334            -17.9408512219 
   0.0953508570556            -17.9577592195 
    0.100029433686            -17.9365725428 
    0.104948536322             -17.971232591 
    0.110096428764             -17.962036516 
     0.11551123601            -17.9762671111 
    0.121179274053            -17.9641114312 
    0.127130041975             -17.988746241 
    0.133382339122            -17.9711875702 
    0.139936753821             -17.967824801 
    0.146789326817             -17.963610202 
    0.154008474038            -17.9540000735 
    0.161572365404            -17.9524780963 
    0.169506722634            -17.9454996806 
    0.177843118829            -17.9453821271 
    0.186582338428            -17.9465925126 
    0.195719102423            -17.9069501094 
    0.205333064642            -17.9031756315 
