#Incident Continuum, Enr	nFn 
2.84505e-05	7.577e-03
2.85931e-05	7.668e-03
2.87364e-05	7.759e-03
2.88804e-05	7.852e-03
2.90251e-05	7.945e-03
2.91706e-05	8.040e-03
2.93168e-05	8.135e-03
2.94637e-05	8.232e-03
2.96113e-05	8.329e-03
2.97597e-05	8.428e-03
2.99089e-05	8.527e-03
3.00588e-05	8.627e-03
3.02094e-05	8.729e-03
3.03608e-05	8.831e-03
3.05130e-05	8.935e-03
3.06659e-05	9.039e-03
3.08196e-05	9.145e-03
3.09740e-05	9.251e-03
3.11292e-05	9.359e-03
3.12852e-05	9.468e-03
3.14420e-05	9.578e-03
3.15996e-05	9.689e-03
3.17580e-05	9.801e-03
3.19171e-05	9.914e-03
3.20771e-05	1.003e-02
3.22378e-05	1.014e-02
3.23994e-05	1.026e-02
3.25618e-05	1.038e-02
3.27250e-05	1.050e-02
3.28890e-05	1.062e-02
3.30538e-05	1.074e-02
3.32194e-05	1.086e-02
3.33859e-05	1.098e-02
3.35532e-05	1.111e-02
3.37214e-05	1.123e-02
3.38904e-05	1.136e-02
3.40602e-05	1.149e-02
3.42309e-05	1.162e-02
3.44025e-05	1.175e-02
3.45749e-05	1.188e-02
3.47482e-05	1.201e-02
3.49223e-05	1.214e-02
3.50973e-05	1.228e-02
3.52732e-05	1.242e-02
3.54500e-05	1.255e-02
3.56276e-05	1.269e-02
3.58062e-05	1.283e-02
3.59856e-05	1.297e-02
3.61660e-05	1.311e-02
3.63472e-05	1.326e-02
3.65294e-05	1.340e-02
3.67125e-05	1.355e-02
3.68964e-05	1.370e-02
3.70814e-05	1.385e-02
3.72672e-05	1.400e-02
3.74540e-05	1.415e-02
3.76417e-05	1.430e-02
3.78303e-05	1.445e-02
3.80199e-05	1.461e-02
3.82104e-05	1.477e-02
3.84019e-05	1.492e-02
3.85944e-05	1.508e-02
3.87878e-05	1.524e-02
3.89822e-05	1.540e-02
3.91775e-05	1.557e-02
3.93739e-05	1.573e-02
3.95712e-05	1.590e-02
3.97695e-05	1.606e-02
3.99688e-05	1.623e-02
4.01691e-05	1.640e-02
4.03704e-05	1.657e-02
4.05728e-05	1.674e-02
4.07761e-05	1.692e-02
4.09804e-05	1.709e-02
4.11858e-05	1.727e-02
4.13922e-05	1.745e-02
4.15997e-05	1.762e-02
4.18082e-05	1.780e-02
4.20177e-05	1.799e-02
4.22282e-05	1.817e-02
4.24399e-05	1.835e-02
4.26526e-05	1.854e-02
4.28663e-05	1.872e-02
4.30811e-05	1.891e-02
4.32971e-05	1.910e-02
4.35140e-05	1.929e-02
4.37321e-05	1.948e-02
4.39513e-05	1.968e-02
4.41715e-05	1.987e-02
4.43929e-05	2.007e-02
4.46154e-05	2.027e-02
4.48390e-05	2.046e-02
4.50637e-05	2.066e-02
4.52895e-05	2.086e-02
4.55165e-05	2.107e-02
4.57446e-05	2.127e-02
4.59739e-05	2.148e-02
4.62043e-05	2.168e-02
4.64358e-05	2.189e-02
4.66685e-05	2.210e-02
4.69024e-05	2.231e-02
4.71375e-05	2.252e-02
4.73737e-05	2.273e-02
4.76111e-05	2.294e-02
4.78497e-05	2.316e-02
4.80895e-05	2.338e-02
4.83305e-05	2.359e-02
4.85727e-05	2.381e-02
4.88162e-05	2.403e-02
4.90608e-05	2.425e-02
4.93067e-05	2.447e-02
4.95538e-05	2.470e-02
4.98021e-05	2.492e-02
5.00517e-05	2.515e-02
5.03026e-05	2.537e-02
5.05547e-05	2.560e-02
5.08080e-05	2.583e-02
5.10626e-05	2.606e-02
5.13185e-05	2.629e-02
5.15757e-05	2.652e-02
5.18342e-05	2.676e-02
5.20940e-05	2.699e-02
5.23550e-05	2.723e-02
5.26174e-05	2.746e-02
5.28811e-05	2.770e-02
5.31461e-05	2.794e-02
5.34125e-05	2.818e-02
5.36802e-05	2.842e-02
5.39492e-05	2.866e-02
5.42196e-05	2.890e-02
5.44913e-05	2.914e-02
5.47644e-05	2.938e-02
5.50388e-05	2.963e-02
5.53146e-05	2.987e-02
5.55919e-05	3.012e-02
5.58705e-05	3.037e-02
5.61505e-05	3.061e-02
5.64319e-05	3.086e-02
5.67147e-05	3.111e-02
5.69989e-05	3.136e-02
5.72846e-05	3.161e-02
5.75716e-05	3.186e-02
5.78602e-05	3.211e-02
5.81501e-05	3.236e-02
5.84416e-05	3.262e-02
5.87344e-05	3.287e-02
5.90288e-05	3.312e-02
5.93246e-05	3.338e-02
5.96219e-05	3.363e-02
5.99207e-05	3.389e-02
6.02210e-05	3.414e-02
6.05228e-05	3.440e-02
6.08261e-05	3.465e-02
6.11310e-05	3.491e-02
6.14373e-05	3.516e-02
6.17452e-05	3.542e-02
6.20547e-05	3.568e-02
6.23657e-05	3.593e-02
6.26782e-05	3.619e-02
6.29923e-05	3.645e-02
6.33080e-05	3.671e-02
6.36253e-05	3.696e-02
6.39441e-05	3.722e-02
6.42646e-05	3.748e-02
6.45867e-05	3.773e-02
6.49104e-05	3.799e-02
6.52357e-05	3.825e-02
6.55626e-05	3.850e-02
6.58912e-05	3.876e-02
6.62214e-05	3.902e-02
6.65532e-05	3.927e-02
6.68868e-05	3.953e-02
6.72220e-05	3.978e-02
6.75589e-05	4.004e-02
6.78975e-05	4.029e-02
6.82377e-05	4.054e-02
6.85797e-05	4.079e-02
6.89234e-05	4.105e-02
6.92688e-05	4.130e-02
6.96160e-05	4.155e-02
6.99648e-05	4.180e-02
7.03155e-05	4.205e-02
7.06679e-05	4.229e-02
7.10220e-05	4.254e-02
7.13780e-05	4.279e-02
7.17357e-05	4.303e-02
7.20952e-05	4.328e-02
7.24565e-05	4.352e-02
7.28196e-05	4.376e-02
7.31845e-05	4.400e-02
7.35513e-05	4.424e-02
7.39199e-05	4.448e-02
7.42904e-05	4.471e-02
7.46627e-05	4.495e-02
7.50369e-05	4.518e-02
7.54129e-05	4.542e-02
7.57908e-05	4.565e-02
7.61707e-05	4.587e-02
7.65524e-05	4.610e-02
7.69361e-05	4.633e-02
7.73216e-05	4.655e-02
7.77091e-05	4.677e-02
7.80986e-05	4.699e-02
7.84900e-05	4.721e-02
7.88833e-05	4.742e-02
7.92787e-05	4.764e-02
7.96760e-05	4.785e-02
8.00753e-05	4.806e-02
8.04766e-05	4.827e-02
8.08799e-05	4.847e-02
8.12852e-05	4.867e-02
8.16926e-05	4.887e-02
8.21020e-05	4.907e-02
8.25134e-05	4.926e-02
8.29270e-05	4.946e-02
8.33426e-05	4.965e-02
8.37602e-05	4.983e-02
8.41800e-05	5.002e-02
8.46019e-05	5.020e-02
8.50259e-05	5.038e-02
8.54520e-05	5.055e-02
8.58802e-05	5.072e-02
8.63106e-05	5.089e-02
8.67432e-05	5.106e-02
8.71779e-05	5.122e-02
8.76148e-05	5.138e-02
8.80539e-05	5.154e-02
8.84952e-05	5.169e-02
8.89387e-05	5.184e-02
8.93844e-05	5.199e-02
8.98323e-05	5.213e-02
9.02825e-05	5.227e-02
9.07350e-05	5.241e-02
9.11897e-05	5.254e-02
9.16467e-05	5.267e-02
9.21060e-05	5.279e-02
9.25676e-05	5.291e-02
9.30315e-05	5.303e-02
9.34978e-05	5.314e-02
9.39663e-05	5.325e-02
9.44372e-05	5.335e-02
9.49105e-05	5.346e-02
9.53862e-05	5.355e-02
9.58642e-05	5.364e-02
9.63446e-05	5.373e-02
9.68275e-05	5.382e-02
9.73127e-05	5.390e-02
9.78004e-05	5.397e-02
9.82905e-05	5.404e-02
9.87831e-05	5.411e-02
9.92782e-05	5.417e-02
9.97757e-05	5.423e-02
1.00276e-04	5.428e-02
1.00778e-04	5.433e-02
1.01283e-04	5.437e-02
1.01791e-04	5.441e-02
1.02301e-04	5.444e-02
1.02814e-04	5.447e-02
1.03329e-04	5.449e-02
1.03847e-04	5.451e-02
1.04367e-04	5.453e-02
1.04890e-04	5.454e-02
1.05416e-04	5.454e-02
1.05944e-04	5.454e-02
1.06475e-04	5.453e-02
1.07009e-04	5.452e-02
1.07545e-04	5.451e-02
1.08084e-04	5.449e-02
1.08626e-04	5.446e-02
1.09170e-04	5.443e-02
1.09717e-04	5.439e-02
1.10267e-04	5.435e-02
1.10820e-04	5.430e-02
1.11375e-04	5.425e-02
1.11933e-04	5.419e-02
1.12494e-04	5.413e-02
1.13058e-04	5.406e-02
1.13625e-04	5.399e-02
1.14194e-04	5.391e-02
1.14766e-04	5.383e-02
1.15341e-04	5.374e-02
1.15920e-04	5.364e-02
1.16500e-04	5.354e-02
1.17084e-04	5.344e-02
1.17671e-04	5.333e-02
1.18261e-04	5.321e-02
1.18853e-04	5.309e-02
1.19449e-04	5.296e-02
1.20048e-04	5.283e-02
1.20649e-04	5.269e-02
1.21254e-04	5.255e-02
1.21862e-04	5.241e-02
1.22472e-04	5.225e-02
1.23086e-04	5.209e-02
1.23703e-04	5.193e-02
1.24323e-04	5.176e-02
1.24946e-04	5.159e-02
1.25572e-04	5.141e-02
1.26202e-04	5.123e-02
1.26834e-04	5.104e-02
1.27470e-04	5.084e-02
1.28108e-04	5.064e-02
1.28750e-04	5.044e-02
1.29396e-04	5.023e-02
1.30044e-04	5.002e-02
1.30696e-04	4.980e-02
1.31351e-04	4.957e-02
1.32009e-04	4.935e-02
1.32671e-04	4.911e-02
1.33336e-04	4.887e-02
1.34004e-04	4.863e-02
1.34675e-04	4.838e-02
1.35350e-04	4.813e-02
1.36029e-04	4.788e-02
1.36710e-04	4.762e-02
1.37396e-04	4.735e-02
1.38084e-04	4.708e-02
1.38776e-04	4.681e-02
1.39472e-04	4.653e-02
1.40171e-04	4.625e-02
1.40873e-04	4.596e-02
1.41579e-04	4.567e-02
1.42289e-04	4.538e-02
1.43002e-04	4.508e-02
1.43718e-04	4.477e-02
1.44439e-04	4.447e-02
1.45162e-04	4.416e-02
1.45890e-04	4.385e-02
1.46621e-04	4.353e-02
1.47356e-04	4.321e-02
1.48094e-04	4.289e-02
1.48837e-04	4.256e-02
1.49582e-04	4.223e-02
1.50332e-04	4.190e-02
1.51085e-04	4.156e-02
1.51843e-04	4.122e-02
1.52604e-04	4.088e-02
1.53368e-04	4.054e-02
1.54137e-04	4.019e-02
1.54909e-04	3.984e-02
1.55686e-04	3.949e-02
1.56466e-04	3.913e-02
1.57250e-04	3.877e-02
1.58038e-04	3.841e-02
1.58830e-04	3.805e-02
1.59626e-04	3.769e-02
1.60426e-04	3.732e-02
1.61230e-04	3.696e-02
1.62038e-04	3.659e-02
1.62850e-04	3.622e-02
1.63666e-04	3.585e-02
1.64487e-04	3.547e-02
1.65311e-04	3.510e-02
1.66139e-04	3.472e-02
1.66972e-04	3.434e-02
1.67809e-04	3.397e-02
1.68650e-04	3.359e-02
1.69495e-04	3.321e-02
1.70344e-04	3.283e-02
1.71198e-04	3.244e-02
1.72056e-04	3.206e-02
1.72918e-04	3.168e-02
1.73785e-04	3.130e-02
1.74656e-04	3.091e-02
1.75531e-04	3.053e-02
1.76411e-04	3.015e-02
1.77295e-04	2.976e-02
1.78184e-04	2.938e-02
1.79077e-04	2.900e-02
1.79974e-04	2.862e-02
1.80876e-04	2.824e-02
1.81782e-04	2.785e-02
1.82693e-04	2.747e-02
1.83609e-04	2.709e-02
1.84529e-04	2.671e-02
1.85454e-04	2.634e-02
1.86383e-04	2.596e-02
1.87317e-04	2.558e-02
1.88256e-04	2.521e-02
1.89200e-04	2.484e-02
1.90148e-04	2.446e-02
1.91101e-04	2.409e-02
1.92058e-04	2.372e-02
1.93021e-04	2.336e-02
1.93988e-04	2.299e-02
1.94960e-04	2.263e-02
1.95938e-04	2.227e-02
1.96919e-04	2.191e-02
1.97906e-04	2.155e-02
1.98898e-04	2.119e-02
1.99895e-04	2.084e-02
2.00897e-04	2.049e-02
2.01904e-04	2.014e-02
2.02915e-04	1.979e-02
2.03932e-04	1.945e-02
2.04954e-04	1.911e-02
2.05982e-04	1.877e-02
2.07014e-04	1.843e-02
2.08051e-04	1.810e-02
2.09094e-04	1.777e-02
2.10142e-04	1.744e-02
2.11195e-04	1.712e-02
2.12253e-04	1.680e-02
2.13317e-04	1.648e-02
2.14386e-04	1.616e-02
2.15461e-04	1.585e-02
2.16540e-04	1.554e-02
2.17626e-04	1.524e-02
2.18716e-04	1.493e-02
2.19812e-04	1.463e-02
2.20914e-04	1.434e-02
2.22021e-04	1.404e-02
2.23134e-04	1.375e-02
2.24252e-04	1.347e-02
2.25376e-04	1.318e-02
2.26505e-04	1.290e-02
2.27640e-04	1.263e-02
2.28781e-04	1.236e-02
2.29928e-04	1.209e-02
2.31080e-04	1.182e-02
2.32238e-04	1.156e-02
2.33402e-04	1.130e-02
2.34572e-04	1.105e-02
2.35747e-04	1.080e-02
2.36929e-04	1.055e-02
2.38116e-04	1.031e-02
2.39309e-04	1.007e-02
2.40509e-04	9.835e-03
2.41714e-04	9.604e-03
2.42925e-04	9.375e-03
2.44143e-04	9.151e-03
2.45366e-04	8.931e-03
2.46596e-04	8.714e-03
2.47832e-04	8.501e-03
2.49074e-04	8.291e-03
2.50322e-04	8.086e-03
2.51577e-04	7.884e-03
2.52838e-04	7.685e-03
2.54105e-04	7.491e-03
2.55378e-04	7.300e-03
2.56658e-04	7.113e-03
2.57944e-04	6.929e-03
2.59237e-04	6.749e-03
2.60536e-04	6.573e-03
2.61842e-04	6.400e-03
2.63154e-04	6.230e-03
2.64473e-04	6.065e-03
2.65798e-04	5.902e-03
2.67130e-04	5.744e-03
2.68469e-04	5.588e-03
2.69815e-04	5.436e-03
2.71167e-04	5.288e-03
2.72526e-04	5.143e-03
2.73891e-04	5.001e-03
2.75264e-04	4.862e-03
2.76644e-04	4.727e-03
2.78030e-04	4.595e-03
2.79423e-04	4.466e-03
2.80824e-04	4.341e-03
2.82231e-04	4.218e-03
2.83645e-04	4.099e-03
2.85067e-04	3.982e-03
2.86496e-04	3.869e-03
2.87931e-04	3.759e-03
2.89374e-04	3.651e-03
2.90825e-04	3.547e-03
2.92282e-04	3.445e-03
2.93747e-04	3.346e-03
2.95219e-04	3.250e-03
2.96699e-04	3.156e-03
2.98185e-04	3.066e-03
2.99680e-04	2.978e-03
3.01182e-04	2.892e-03
3.02691e-04	2.809e-03
3.04208e-04	2.729e-03
3.05733e-04	2.651e-03
3.07265e-04	2.575e-03
3.08805e-04	2.502e-03
3.10352e-04	2.432e-03
3.11908e-04	2.363e-03
3.13471e-04	2.297e-03
3.15042e-04	2.233e-03
3.16621e-04	2.171e-03
3.18207e-04	2.111e-03
3.19802e-04	2.054e-03
3.21405e-04	1.998e-03
3.23015e-04	1.944e-03
3.24634e-04	1.893e-03
3.26261e-04	1.843e-03
3.27896e-04	1.795e-03
3.29540e-04	1.749e-03
3.31191e-04	1.705e-03
3.32851e-04	1.662e-03
3.34519e-04	1.622e-03
3.36195e-04	1.583e-03
3.37880e-04	1.545e-03
3.39574e-04	1.509e-03
3.41275e-04	1.475e-03
3.42986e-04	1.442e-03
3.44705e-04	1.411e-03
3.46432e-04	1.381e-03
3.48168e-04	1.352e-03
3.49913e-04	1.325e-03
3.51667e-04	1.299e-03
3.53429e-04	1.275e-03
3.55200e-04	1.252e-03
3.56981e-04	1.229e-03
3.58770e-04	1.209e-03
3.60568e-04	1.189e-03
3.62375e-04	1.170e-03
3.64191e-04	1.153e-03
3.66016e-04	1.137e-03
3.67850e-04	1.121e-03
3.69694e-04	1.107e-03
3.71546e-04	1.094e-03
3.73408e-04	1.081e-03
3.75280e-04	1.070e-03
3.77160e-04	1.059e-03
3.79051e-04	1.049e-03
3.80950e-04	1.041e-03
3.82859e-04	1.033e-03
3.84778e-04	1.025e-03
3.86706e-04	1.019e-03
3.88644e-04	1.013e-03
3.90592e-04	1.008e-03
3.92550e-04	1.004e-03
3.94517e-04	1.000e-03
3.96494e-04	9.973e-04
3.98481e-04	9.950e-04
4.00478e-04	9.933e-04
4.02485e-04	9.922e-04
4.04502e-04	9.918e-04
4.06529e-04	9.919e-04
4.08567e-04	9.925e-04
4.10614e-04	9.937e-04
4.12672e-04	9.954e-04
4.14740e-04	9.976e-04
4.16819e-04	1.000e-03
4.18908e-04	1.003e-03
4.21007e-04	1.007e-03
4.23117e-04	1.011e-03
4.25237e-04	1.016e-03
4.27369e-04	1.021e-03
4.29510e-04	1.026e-03
4.31663e-04	1.032e-03
4.33826e-04	1.038e-03
4.36000e-04	1.044e-03
4.38185e-04	1.051e-03
4.40381e-04	1.058e-03
4.42588e-04	1.066e-03
4.44806e-04	1.074e-03
4.47036e-04	1.082e-03
4.49276e-04	1.091e-03
4.51528e-04	1.100e-03
4.53790e-04	1.109e-03
4.56065e-04	1.119e-03
4.58350e-04	1.128e-03
4.60647e-04	1.138e-03
4.62956e-04	1.149e-03
4.65276e-04	1.160e-03
4.67608e-04	1.170e-03
4.69951e-04	1.182e-03
4.72306e-04	1.193e-03
4.74673e-04	1.205e-03
4.77052e-04	1.217e-03
4.79443e-04	1.229e-03
4.81846e-04	1.242e-03
4.84260e-04	1.254e-03
4.86687e-04	1.267e-03
4.89126e-04	1.281e-03
4.91578e-04	1.294e-03
4.94041e-04	1.308e-03
4.96517e-04	1.322e-03
4.99006e-04	1.336e-03
5.01506e-04	1.350e-03
5.04020e-04	1.365e-03
5.06546e-04	1.380e-03
5.09084e-04	1.395e-03
5.11635e-04	1.410e-03
5.14200e-04	1.426e-03
5.16777e-04	1.442e-03
5.19366e-04	1.458e-03
5.21969e-04	1.474e-03
5.24585e-04	1.490e-03
5.27214e-04	1.507e-03
5.29856e-04	1.524e-03
5.32512e-04	1.541e-03
5.35180e-04	1.559e-03
5.37862e-04	1.576e-03
5.40558e-04	1.594e-03
5.43267e-04	1.612e-03
5.45990e-04	1.630e-03
5.48726e-04	1.649e-03
5.51476e-04	1.668e-03
5.54240e-04	1.682e-03
5.57017e-04	1.690e-03
5.59809e-04	1.698e-03
5.62614e-04	1.706e-03
5.65434e-04	1.714e-03
5.68268e-04	1.722e-03
5.71115e-04	1.731e-03
5.73978e-04	1.739e-03
5.76854e-04	1.747e-03
5.79745e-04	1.755e-03
5.82650e-04	1.764e-03
5.85571e-04	1.772e-03
5.88505e-04	1.781e-03
5.91454e-04	1.789e-03
5.94419e-04	1.798e-03
5.97398e-04	1.806e-03
6.00391e-04	1.815e-03
6.03400e-04	1.824e-03
6.06424e-04	1.833e-03
6.09463e-04	1.841e-03
6.12518e-04	1.850e-03
6.15587e-04	1.859e-03
6.18673e-04	1.868e-03
6.21773e-04	1.877e-03
6.24889e-04	1.886e-03
6.28021e-04	1.895e-03
6.31168e-04	1.904e-03
6.34331e-04	1.913e-03
6.37510e-04	1.923e-03
6.40705e-04	1.932e-03
6.43916e-04	1.941e-03
6.47143e-04	1.951e-03
6.50386e-04	1.960e-03
6.53646e-04	1.970e-03
6.56922e-04	1.979e-03
6.60214e-04	1.989e-03
6.63522e-04	1.998e-03
6.66848e-04	2.008e-03
6.70190e-04	2.018e-03
6.73548e-04	2.027e-03
6.76924e-04	2.037e-03
6.80316e-04	2.047e-03
6.83726e-04	2.057e-03
6.87152e-04	2.067e-03
6.90596e-04	2.077e-03
6.94057e-04	2.087e-03
6.97535e-04	2.097e-03
7.01031e-04	2.107e-03
7.04544e-04	2.117e-03
7.08075e-04	2.127e-03
7.11624e-04	2.138e-03
7.15190e-04	2.148e-03
7.18774e-04	2.158e-03
7.22376e-04	2.169e-03
7.25997e-04	2.179e-03
7.29635e-04	2.190e-03
7.33292e-04	2.200e-03
7.36967e-04	2.211e-03
7.40660e-04	2.222e-03
7.44372e-04	2.232e-03
7.48102e-04	2.243e-03
7.51851e-04	2.254e-03
7.55619e-04	2.265e-03
7.59406e-04	2.276e-03
7.63212e-04	2.287e-03
7.67037e-04	2.298e-03
7.70881e-04	2.309e-03
7.74744e-04	2.320e-03
7.78627e-04	2.331e-03
7.82529e-04	2.343e-03
7.86451e-04	2.354e-03
7.90392e-04	2.365e-03
7.94353e-04	2.377e-03
7.98334e-04	2.388e-03
8.02335e-04	2.400e-03
8.06356e-04	2.411e-03
8.10397e-04	2.423e-03
8.14459e-04	2.435e-03
8.18540e-04	2.447e-03
8.22642e-04	2.458e-03
8.26765e-04	2.470e-03
8.30908e-04	2.482e-03
8.35073e-04	2.494e-03
8.39258e-04	2.506e-03
8.43464e-04	2.518e-03
8.47691e-04	2.530e-03
8.51939e-04	2.543e-03
8.56208e-04	2.555e-03
8.60499e-04	2.567e-03
8.64812e-04	2.580e-03
8.69146e-04	2.592e-03
8.73502e-04	2.605e-03
8.77879e-04	2.617e-03
8.82279e-04	2.630e-03
8.86700e-04	2.643e-03
8.91144e-04	2.655e-03
8.95610e-04	2.668e-03
9.00099e-04	2.681e-03
9.04610e-04	2.694e-03
9.09143e-04	2.707e-03
9.13699e-04	2.720e-03
9.18278e-04	2.733e-03
9.22880e-04	2.747e-03
9.27505e-04	2.760e-03
9.32154e-04	2.773e-03
9.36825e-04	2.787e-03
9.41520e-04	2.800e-03
9.46239e-04	2.814e-03
9.50981e-04	2.827e-03
9.55747e-04	2.841e-03
9.60536e-04	2.855e-03
9.65350e-04	2.868e-03
9.70188e-04	2.882e-03
9.75050e-04	2.896e-03
9.79937e-04	2.910e-03
9.84848e-04	2.924e-03
9.89783e-04	2.938e-03
9.94744e-04	2.953e-03
9.99729e-04	2.967e-03
1.00474e-03	2.981e-03
1.00977e-03	2.996e-03
1.01484e-03	3.010e-03
1.01992e-03	3.025e-03
1.02503e-03	3.039e-03
1.03017e-03	3.054e-03
1.03533e-03	3.069e-03
1.04052e-03	3.083e-03
1.04574e-03	3.098e-03
1.05098e-03	3.113e-03
1.05624e-03	3.117e-03
1.06154e-03	3.106e-03
1.06686e-03	3.095e-03
1.07220e-03	3.084e-03
1.07758e-03	3.073e-03
1.08298e-03	3.063e-03
1.08840e-03	3.052e-03
1.09386e-03	3.041e-03
1.09934e-03	3.030e-03
1.10485e-03	3.020e-03
1.11039e-03	3.009e-03
1.11595e-03	2.998e-03
1.12154e-03	2.988e-03
1.12717e-03	2.977e-03
1.13281e-03	2.967e-03
1.13849e-03	2.956e-03
1.14420e-03	2.946e-03
1.14993e-03	2.936e-03
1.15569e-03	2.925e-03
1.16149e-03	2.915e-03
1.16731e-03	2.905e-03
1.17316e-03	2.894e-03
1.17904e-03	2.884e-03
1.18495e-03	2.874e-03
1.19088e-03	2.864e-03
1.19685e-03	2.854e-03
1.20285e-03	2.844e-03
1.20888e-03	2.834e-03
1.21494e-03	2.824e-03
1.22103e-03	2.814e-03
1.22714e-03	2.804e-03
1.23329e-03	2.794e-03
1.23947e-03	2.784e-03
1.24569e-03	2.774e-03
1.25193e-03	2.765e-03
1.25820e-03	2.755e-03
1.26451e-03	2.745e-03
1.27085e-03	2.736e-03
1.27722e-03	2.726e-03
1.28362e-03	2.716e-03
1.29005e-03	2.707e-03
1.29651e-03	2.697e-03
1.30301e-03	2.688e-03
1.30954e-03	2.678e-03
1.31610e-03	2.669e-03
1.32270e-03	2.659e-03
1.32933e-03	2.650e-03
1.33599e-03	2.641e-03
1.34269e-03	2.631e-03
1.34942e-03	2.622e-03
1.35618e-03	2.613e-03
1.36297e-03	2.604e-03
1.36981e-03	2.594e-03
1.37667e-03	2.585e-03
1.38357e-03	2.576e-03
1.39050e-03	2.567e-03
1.39747e-03	2.558e-03
1.40448e-03	2.549e-03
1.41151e-03	2.540e-03
1.41859e-03	2.531e-03
1.42570e-03	2.522e-03
