# name : parameter name
# ml   : maximum likelihood value
# j1l  : 1 sigma lower error (joint with all other parameters) 
# j1u  : 1 sigma upper error (joint)
# j2l  : 2 sigma lower error (joint) 
# j2u  : 2 sigma upper error (joint) 
# m1l  : 1 sigma lower error (marginalised over all other parameters)
# m1u  : 1 sigma upper error (marginalised)
# m2l  : 2 sigma lower error (marginalised) 
# m2u  : 2 sigma upper error (marginalised) 
name ml             j1l           j1u           j2l           j2u           m1l            m1u            m2l           m2u
dw36 -0.0041904816  0.01390727    0.022809635   0.015316374   0.023861895   0.00064398812  0.011361394    0.0090117763  0.015749139
dw37 0.0029129165   0.019736161   0.011271026   0.019736161   0.013160592   0.0089146655   0.0015902885   0.015106788   0.0067370828
dw38 -0.003921145   0.015935682   0.019511874   0.015935682   0.019511874   0.0045517313   0.0076833269   0.00925428    0.014020056
dw39 0.0015102403   0.020275125   0.01781011    0.020275125   0.01781011    0.0069458538   0.0060535604   0.013355269   0.013128697
dw40 0.0032450827   0.02161549    0.01449599    0.023099842   0.015064789   0.0091763695   0.0018372635   0.014547327   0.0077747765
dw41 -0.0021332844  0.016195962   0.021219382   0.016195962   0.021496562   0.0030065481   0.0099370585   0.0092694298  0.015426966
dw42 0.0014080418   0.014759566   0.016934364   0.016613496   0.016934364   0.0061743219   0.0047220078   0.011696048   0.010016261
dw43 -0.0025403162  0.016916584   0.01911624    0.017144321   0.01911624    0.009252061    0.0038668641   0.015346958   0.01010211
dw44 0.0025934742   0.021672929   0.016103965   0.021863518   0.017065363   0.0081353985   0.0064106107   0.014109581   0.013319329
dw45 0.010027031    0.02999021    0.0099376444  0.02999021    0.0099376444  0.01266908     -0.00092665827 0.020365763   0.0040280519
dw46 -0.0089662035  0.010739408   0.018665753   0.010739408   0.020807415   0.0034699186   0.0068645753   0.0091788282  0.012059045
dw47 0.0077618999   0.023315554   0.010752527   0.024419059   0.010752527   0.014628728    -0.0027451667  0.019423061   0.0047607758
dw48 -0.008921282   0.0087812244  0.024779753   0.0094939025  0.024779753   -0.0012063381  0.013118168    0.004510058   0.017321802
dw49 0.0023247553   0.021908809   0.012050448   0.02232318    0.012708895   0.01064559     0.00038845774  0.017954078   0.0055885039
dw50 -0.010770635   0.0092081444  0.023907583   0.0092081444  0.025571463   0.0010743203   0.011559852    0.0082845597  0.015867532
dw51 0.011407886    0.020231484   0.0085210073  0.024671308   0.0085210073  0.010351552    9.3738382e-05  0.015869327   0.0062972559
dw52 -0.00017319207 0.019525972   0.014576502   0.019525972   0.014576502   0.0081736198   0.0039198777   0.015629715   0.0096378176
dw53 0.0062676635   0.021820982   0.0098968605  0.022720622   0.0098968605  0.012254719    -0.00092682774 0.017117191   0.004803977
dw54 0.013537779    0.032519194   0.0050859551  0.032519194   0.0050859551  0.019080916    -0.0071214003  0.024401378   -0.00031171597
dw55 0.011459701    0.026520468   0.008296133   0.028690359   0.0084860196  0.013504513    0.00078099841  0.018307387   0.0083934884
