|           energy|                      jnu|
|           double|                   double|
|         Rydbergs|log10(erg/s/cm^2/Hz/ster)|
   0.0953508570556            -19.9985100568 
    0.100029433686            -20.0019285533 
    0.104948536322            -20.0056286082 
    0.110096428764            -20.0093989653 
     0.11551123601            -20.0137757321 
    0.121179274053            -20.0180464422 
    0.127130041975            -20.0227201071 
    0.133382339122            -20.0280203854 
    0.139936753821            -20.0340275911 
    0.146789326817            -20.0416233943 
    0.154008474038            -20.0509264547 
    0.161572365404            -20.0609062412 
    0.169506722634            -20.0718204746 
    0.177843118829            -20.0830807171 
    0.186582338428            -20.0944611041 
    0.195719102423            -20.1068380042 
    0.205333064642            -20.1202402478 
    0.215429820539            -20.1338726274 
    0.226008963512            -20.1482250666 
    0.237124158439            -20.1612660913 
    0.248776451237            -20.1678578703 
     0.26095880323            -20.1707796437 
    0.273818551947            -20.1743119182 
    0.287285038108            -20.1782517226 
    0.301345284683             -20.183050132 
    0.316192970465            -20.1888179702 
    0.331732122636            -20.1950569369 
    0.347945070974            -20.2023315719 
    0.365091402596            -20.2109279406 
    0.383046717478            -20.2207721191 
     0.40179371291            -20.2332989051 
    0.421493127142            -20.2482953885 
    0.442148539971            -20.2651158409 
    0.463985815112             -20.284411797 
    0.486788536795            -20.3076236358 
    0.510514364639            -20.3342459327 
    0.535724950547            -20.3648161054 
    0.562164183146            -20.3990161342 
    0.589817566913            -20.4366465977 
    0.618647753483            -20.4809228225 
    0.649051382393            -20.5327047344 
    0.681067369866            -20.5937714481 
    0.714159985016            -20.6696454203 
    0.749398142171            -20.7428023984 
    0.786253788507            -20.8232824007 
     0.82467705057            -20.9509187032 
    0.865401843191            -21.1266833223 
    0.907637590518             -21.389220024 
    0.952412354599            -21.8866350354 
    0.999197522895             -22.214850207 
     1.04395479537             -22.241950454 
     1.09514258007            -22.2696496521 
     1.14899526022            -22.2976631841 
     1.20538113873            -22.3273420388 
     1.26459636536            -22.3581960857 
     1.32663872599            -22.3899848095 
     1.39188657535            -22.4226268508 
     1.46013161493            -22.4583316711 
     1.53205807142            -22.4968710481 
     1.60717485164            -22.5389502076 
      1.6862844946            -22.5843658987 
     1.76910918439             -22.634346698 
     1.85594326045            -22.6828719914 
     1.94715414718            -22.7303108993 
     2.04274409523            -22.7847283109 
     2.14315178946            -22.8453215224 
     2.24837932613            -22.9121726475 
     2.35835440186            -22.9834966725 
      2.4742550662            -23.0591897455 
     2.59620552957            -23.1391231066 
     2.72345529253            -23.2213729585 
     2.85753571929            -23.3081660135 
     2.99759256868            -23.5275952535 
     3.14447253582            -23.6343264017 
     3.29930536162            -23.7530950598 
     3.46095002233            -23.8793359176 
     3.63199737298            -24.0138956891 
      3.8096494184             -24.159852553 
     3.99679009158            -24.3302411625 
     4.19359475785            -24.5754219349 
     4.39801226293             -24.710401889 
     4.61401590319            -24.7738897736 
     4.84201987715            -24.8054045579 
     5.07953255786            -24.8262380878 
     5.32905345544            -24.8439095884 
     5.59060209129            -24.8597719842 
     5.86401635058            -24.8743740388 
     6.15305969534            -24.8882587492 
     6.45374037451            -24.9010239415 
     6.77522781324            -24.9125114167 
     7.10263554856            -24.9221557348 
     7.45718609558            -24.9296116172 
     7.82204412773            -24.9344670006 
     8.20223349127            -24.9360741076 
     8.60498716601            -24.9343967915 
     9.03139881943            -24.9288458467 
     9.47362658156            -24.9195228935 
     9.93966122251            -24.9054218597 
      10.427602024            -24.8870803465 
      10.939593528            -24.8664836594 
     11.4769287264            -24.8442495261 
     12.0410695148            -24.8210220851 
     12.6319398514             -24.797257689 
       13.25288163            -24.7735186271 
     13.9039997083            -24.7500589217 
     14.5849574405            -24.7274763709 
     15.3025716353            -24.7059831302 
     16.0547593531            -24.6858097022 
     16.8410301401              -24.66728447 
       17.67050884            -24.6505300849 
     18.5367807339            -24.6357412902 
     19.4466099206            -24.6231966125 
     20.4045710005            -24.6128661902 
     21.4063458041            -24.6044221754 
     22.4560902139            -24.5979384762 
     23.5591556587            -24.5938022598 
     24.7157076452            -24.5920040586 
     25.9325025862            -24.5924166667 
     27.2020340561            -24.5948400393 
     28.5395596893            -24.5992020369 
     29.9463733447            -24.6053071906 
      31.412207545            -24.6129640754 
     32.9572564514             -24.622088901 
      34.570111566            -24.6326033302 
      36.276597965            -24.6442969665 
     38.0487741495            -24.6570392681 
     39.9153806781             -24.670309322 
     41.8781314743            -24.6840932442 
     43.9377117107            -24.6987054882 
      46.093482088            -24.7139565517 
     48.3687972866            -24.7297913941 
     50.7387606281            -24.7460644758 
      53.228279257            -24.7627110145 
     55.8375086324            -24.7795766532 
     58.6024527897            -24.7967185178 
     61.4476157033            -24.8139546958 
     64.4917297155            -24.8313300446 
     67.6516808374             -24.848591151 
     70.9710390094            -24.8659459362 
     74.4500115098            -24.8832664707 
     78.0863873933            -24.9006340519 
     81.9485738202            -24.9180251766 
     85.9686925359            -24.9352887501 
      90.224568404            -24.9525091464 
     94.6280520125            -24.9697019635 
     99.2774965552            -24.9865914639 
     104.156834024            -25.0033661816 
     109.277867955            -25.0199296039 
     114.639343424            -25.0361316394 
     120.267670698            -25.0523341259 
     126.179471183            -25.0680685666 
     132.374802568            -25.0835448695 
      138.87048779            -25.0986658973 
     145.686353458            -25.1134915075 
     152.846048454            -25.1281656868 
     160.349840028            -25.1424017669 
     168.223766085            -25.1563994759 
     176.499736758            -25.1697710343 
     185.179463703            -25.1828826291 
     194.258823466            -25.1953867628 
     203.817522004             -25.207536805 
     213.812327752            -25.2191409887 
     224.339768804            -25.2300544903 
      235.34817688            -25.2407187538 
      246.88922809            -25.2509457283 
     259.030170802            -25.2609609275 
     271.695927513            -25.2705738327 
     285.038517635            -25.2802007445 
     299.070607443            -25.2896602612 
     313.797569174            -25.2994367858 
     329.215368815            -25.3097331379 
     345.308124623             -25.319866109 
     362.333256811             -25.330448121 
     380.170271539            -25.3411456072 
     398.804438022            -25.3521033705 
     418.396758898            -25.3628984182 
     438.953825087            -25.3740266014 
     460.468994886            -25.3854306617 
     483.175048187            -25.3969448346 
     506.823215172            -25.4081371753 
     531.661692462            -25.4185968455 
     557.691640686            -25.4280893258 
     585.271766782            -25.4371541442 
     614.062089542            -25.4463165383 
     644.005753272            -25.4554917185 
     675.513818295            -25.4645188544 
