#Incident Continuum, Enr	nFn 
3.95712e-05	1.590e-02
3.97695e-05	1.606e-02
3.99688e-05	1.623e-02
4.01691e-05	1.640e-02
4.03704e-05	1.657e-02
4.05728e-05	1.674e-02
4.07761e-05	1.692e-02
4.09804e-05	1.709e-02
4.11858e-05	1.727e-02
4.13922e-05	1.744e-02
4.15997e-05	1.762e-02
4.18082e-05	1.780e-02
4.20177e-05	1.798e-02
4.22282e-05	1.817e-02
4.24399e-05	1.835e-02
4.26526e-05	1.854e-02
4.28663e-05	1.872e-02
4.30811e-05	1.891e-02
4.32971e-05	1.910e-02
4.35140e-05	1.929e-02
4.37321e-05	1.948e-02
4.39513e-05	1.968e-02
4.41715e-05	1.987e-02
4.43929e-05	2.007e-02
4.46154e-05	2.026e-02
4.48390e-05	2.046e-02
4.50637e-05	2.066e-02
4.52895e-05	2.086e-02
4.55165e-05	2.107e-02
4.57446e-05	2.127e-02
4.59739e-05	2.147e-02
4.62043e-05	2.168e-02
4.64358e-05	2.189e-02
4.66685e-05	2.210e-02
4.69024e-05	2.231e-02
4.71375e-05	2.252e-02
4.73737e-05	2.273e-02
4.76111e-05	2.294e-02
4.78497e-05	2.316e-02
4.80895e-05	2.337e-02
4.83305e-05	2.359e-02
4.85727e-05	2.381e-02
4.88162e-05	2.403e-02
4.90608e-05	2.425e-02
4.93067e-05	2.447e-02
4.95538e-05	2.470e-02
4.98021e-05	2.492e-02
5.00517e-05	2.514e-02
5.03026e-05	2.537e-02
5.05547e-05	2.560e-02
5.08080e-05	2.583e-02
5.10626e-05	2.606e-02
5.13185e-05	2.629e-02
5.15757e-05	2.652e-02
5.18342e-05	2.675e-02
5.20940e-05	2.699e-02
5.23550e-05	2.722e-02
5.26174e-05	2.746e-02
5.28811e-05	2.770e-02
5.31461e-05	2.793e-02
5.34125e-05	2.817e-02
5.36802e-05	2.841e-02
5.39492e-05	2.865e-02
5.42196e-05	2.889e-02
5.44913e-05	2.914e-02
5.47644e-05	2.938e-02
5.50388e-05	2.962e-02
5.53146e-05	2.987e-02
5.55919e-05	3.012e-02
5.58705e-05	3.036e-02
5.61505e-05	3.061e-02
5.64319e-05	3.086e-02
5.67147e-05	3.111e-02
5.69989e-05	3.136e-02
5.72846e-05	3.161e-02
5.75716e-05	3.186e-02
5.78602e-05	3.211e-02
5.81501e-05	3.236e-02
5.84416e-05	3.261e-02
5.87344e-05	3.286e-02
5.90288e-05	3.312e-02
5.93246e-05	3.337e-02
5.96219e-05	3.363e-02
5.99207e-05	3.388e-02
6.02210e-05	3.414e-02
6.05228e-05	3.439e-02
6.08261e-05	3.465e-02
6.11310e-05	3.490e-02
6.14373e-05	3.516e-02
6.17452e-05	3.542e-02
6.20547e-05	3.567e-02
6.23657e-05	3.593e-02
6.26782e-05	3.619e-02
6.29923e-05	3.644e-02
6.33080e-05	3.670e-02
6.36253e-05	3.696e-02
6.39441e-05	3.721e-02
6.42646e-05	3.747e-02
6.45867e-05	3.773e-02
6.49104e-05	3.799e-02
6.52357e-05	3.824e-02
6.55626e-05	3.850e-02
6.58912e-05	3.875e-02
6.62214e-05	3.901e-02
6.65532e-05	3.927e-02
6.68868e-05	3.952e-02
6.72220e-05	3.978e-02
6.75589e-05	4.003e-02
6.78975e-05	4.028e-02
6.82377e-05	4.054e-02
6.85797e-05	4.079e-02
6.89234e-05	4.104e-02
6.92688e-05	4.129e-02
6.96160e-05	4.154e-02
6.99648e-05	4.179e-02
7.03155e-05	4.204e-02
7.06679e-05	4.229e-02
7.10220e-05	4.253e-02
7.13780e-05	4.278e-02
7.17357e-05	4.303e-02
7.20952e-05	4.327e-02
7.24565e-05	4.351e-02
7.28196e-05	4.375e-02
7.31845e-05	4.399e-02
7.35513e-05	4.423e-02
7.39199e-05	4.447e-02
7.42904e-05	4.471e-02
7.46627e-05	4.494e-02
7.50369e-05	4.518e-02
7.54129e-05	4.541e-02
7.57908e-05	4.564e-02
7.61707e-05	4.587e-02
7.65524e-05	4.609e-02
7.69361e-05	4.632e-02
7.73216e-05	4.654e-02
7.77091e-05	4.676e-02
